timestamp,timeIntervalSince1970,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,course
"2025-11-08 12:46:22.460 +0000",1762605982.459713,10.796320,106.674347,20.600000,5.000000,9.500000,6.842111,300.736176
"2025-11-08 12:46:23.445 +0000",1762605983.445447,10.796352,106.674292,20.500000,5.000000,9.500000,6.842111,300.736176
"2025-11-08 12:46:24.445 +0000",1762605984.444715,10.796385,106.674237,20.400000,5.000000,9.500000,7.150778,300.736176
"2025-11-08 12:46:25.443 +0000",1762605985.443405,10.796419,106.674179,20.600000,5.000000,9.500000,7.562333,300.909058
"2025-11-08 12:46:26.452 +0000",1762605986.451593,10.796454,106.674119,20.600000,5.000000,9.500000,7.510889,300.909058
"2025-11-08 12:46:27.409 +0000",1762605987.409258,10.796489,106.674061,20.500000,5.000000,9.500000,7.408000,300.909058
"2025-11-08 12:46:28.444 +0000",1762605988.444074,10.796524,106.674001,20.600000,5.000000,9.500000,7.613778,300.909058
"2025-11-08 12:46:29.445 +0000",1762605989.444694,10.796560,106.673940,20.500000,5.000000,9.500000,7.768111,300.909058
"2025-11-08 12:46:30.428 +0000",1762605990.428269,10.796597,106.673878,20.600000,5.000000,9.500000,8.025333,300.909058
"2025-11-08 12:46:31.506 +0000",1762605991.506350,10.796635,106.673814,20.600000,5.000000,9.500000,8.231111,300.909058
"2025-11-08 12:46:32.409 +0000",1762605992.408510,10.796674,106.673748,20.600000,5.000000,9.500000,8.385444,300.909058
"2025-11-08 12:46:33.433 +0000",1762605993.432709,10.796713,106.673682,20.700000,5.000000,9.500000,8.385444,300.909058
"2025-11-08 12:46:33.998 +0000",1762605993.998430,10.796713,106.673682,20.700000,5.000000,9.500000,8.228618,300.909058
"2025-11-08 12:46:34.445 +0000",1762605994.444835,10.796752,106.673617,20.600000,5.000000,9.500000,8.128222,300.909058
"2025-11-08 12:46:35.427 +0000",1762605995.427271,10.796789,106.673554,20.600000,5.000000,9.500000,7.716667,300.909058
"2025-11-08 12:46:35.998 +0000",1762605995.998401,10.796789,106.673554,20.600000,5.000000,9.500000,7.462973,300.909058
"2025-11-08 12:46:36.429 +0000",1762605996.429109,10.796824,106.673495,20.500000,5.000000,9.500000,7.408000,300.909058
"2025-11-08 12:46:37.408 +0000",1762605997.407713,10.796858,106.673438,20.500000,5.000000,9.500000,6.893556,300.909058
"2025-11-08 12:46:38.422 +0000",1762605998.422221,10.796889,106.673384,20.400000,10.000000,19.000000,6.584889,300.909058
"2025-11-08 12:46:39.433 +0000",1762605999.432855,10.796919,106.673334,20.400000,10.000000,19.000000,6.173333,300.909058
"2025-11-08 12:46:40.425 +0000",1762606000.424905,10.796947,106.673287,20.300000,5.000000,9.500000,5.607444,300.909058
"2025-11-08 12:46:41.429 +0000",1762606001.428943,10.796972,106.673245,20.300000,10.000000,19.000000,4.990111,300.876648
"2025-11-08 12:46:42.430 +0000",1762606002.430441,10.796995,106.673207,20.300000,5.000000,9.500000,4.630000,300.876648
"2025-11-08 12:46:43.411 +0000",1762606003.410738,10.797015,106.673172,20.300000,5.000000,9.500000,4.115556,300.876648
"2025-11-08 12:46:44.429 +0000",1762606004.428552,10.797033,106.673142,20.200000,5.000000,9.500000,3.498222,300.876648
"2025-11-08 12:46:45.423 +0000",1762606005.423076,10.797048,106.673117,20.200000,5.000000,9.500000,2.829444,300.876648
"2025-11-08 12:46:46.000 +0000",1762606005.999723,10.797048,106.673117,20.200000,5.000000,9.500000,2.358241,300.876648
"2025-11-08 12:46:46.407 +0000",1762606006.406672,10.797059,106.673097,20.200000,5.000000,9.500000,2.263556,300.876648
"2025-11-08 12:46:47.423 +0000",1762606007.423374,10.797069,106.673081,20.200000,5.000000,9.500000,1.800556,300.876648
"2025-11-08 12:46:48.422 +0000",1762606008.421598,10.797076,106.673069,20.200000,5.000000,9.500000,1.080333,300.876648
"2025-11-08 12:46:49.425 +0000",1762606009.424685,10.797080,106.673063,20.200000,5.000000,9.500000,0.463000,300.876648
"2025-11-08 12:46:50.000 +0000",1762606009.999734,10.797080,106.673063,20.200000,5.000000,9.500000,0.181339,300.876648
"2025-11-08 12:46:50.411 +0000",1762606010.411064,10.797081,106.673061,20.200000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:51.429 +0000",1762606011.429057,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:52.000 +0000",1762606011.999733,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:52.432 +0000",1762606012.431985,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:53.429 +0000",1762606013.429309,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:54.427 +0000",1762606014.427394,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:55.440 +0000",1762606015.440267,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:56.441 +0000",1762606016.440901,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:57.425 +0000",1762606017.424549,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
"2025-11-08 12:46:58.440 +0000",1762606018.440236,10.797081,106.673060,20.300000,5.000000,9.500000,0.000000,300.876648
