timestamp,timeIntervalSince1970,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,course
"2025-11-04 10:07:53.844 +0000",1762250873.843801,10.809242,106.672764,8.537544,40.000000,98.899750,-1.000000,-1.000000
"2025-11-04 10:08:00.193 +0000",1762250880.193159,10.809242,106.672764,8.537544,40.000000,98.899750,-1.000000,-1.000000
"2025-11-04 10:08:00.693 +0000",1762250880.693414,10.809125,106.672538,8.536743,40.000000,98.899750,-1.000000,-1.000000
"2025-11-04 10:08:06.233 +0000",1762250886.232869,10.809179,106.672438,8.536386,40.000000,98.899750,-1.000000,-1.000000
"2025-11-04 10:08:12.225 +0000",1762250892.225085,10.809259,106.672418,8.536311,40.000000,98.899750,-1.000000,-1.000000
"2025-11-04 10:08:12.725 +0000",1762250892.724792,10.809558,106.672350,15.088885,32.000000,3.000000,1.385587,-1.000000
"2025-11-04 10:08:13.725 +0000",1762250893.724791,10.809394,106.672095,15.494888,48.007250,3.000000,1.182042,-1.000000
"2025-11-04 10:08:14.725 +0000",1762250894.724791,10.809388,106.672103,15.700158,32.004833,3.000000,1.161835,217.946501
"2025-11-04 10:08:15.825 +0000",1762250895.824790,10.809361,106.672116,15.740337,32.004833,3.000000,2.709794,205.202652
"2025-11-04 10:30:45.123 +0000",1762252245.122651,10.779144,106.640349,9.140000,50.000000,598.099976,-1.000000,-1.000000
"2025-11-04 10:31:54.534 +0000",1762252314.533837,10.778695,106.639500,16.015514,2000.000000,62.040310,-1.000000,-1.000000
